max_depth	min_split	minbucket	cp	ganancia_promedio
4	400	0.15	0.7	0
4	400	0.15	0.8	0
4	400	0.15	0.9	0
4	400	0.2	-0.9	47374000
4	400	0.2	-0.8	47374000
4	400	0.2	-0.7	47374000
4	400	0.2	-0.6	47374000
4	400	0.2	-0.5	47374000
4	400	0.2	-0.4	47374000
4	400	0.2	-0.3	47374000
4	400	0.2	-0.2	47374000
4	400	0.2	-0.1	47374000
4	400	0.2	0	0
4	400	0.2	0.1	0
4	400	0.2	0.2	0
4	400	0.2	0.3	0
4	400	0.2	0.4	0
4	400	0.2	0.5	0
4	400	0.2	0.6	0
4	400	0.2	0.7	0
4	400	0.2	0.8	0
4	400	0.2	0.9	0
4	400	0.25	-0.9	47294000
4	400	0.25	-0.8	47294000
4	400	0.25	-0.7	47294000
4	400	0.25	-0.6	47294000
4	400	0.25	-0.5	47294000
4	400	0.25	-0.4	47294000
4	400	0.25	-0.3	47294000
4	400	0.25	-0.2	47294000
4	400	0.25	-0.1	47294000
4	400	0.25	0	0
4	400	0.25	0.1	0
4	400	0.25	0.2	0
4	400	0.25	0.3	0
4	400	0.25	0.4	0
4	400	0.25	0.5	0
4	400	0.25	0.6	0
4	400	0.25	0.7	0
4	400	0.25	0.8	0
4	400	0.25	0.9	0
4	400	0.3	-0.9	48062000
4	400	0.3	-0.8	48062000
4	400	0.3	-0.7	48062000
4	400	0.3	-0.6	48062000
4	400	0.3	-0.5	48062000
4	400	0.3	-0.4	48062000
4	400	0.3	-0.3	48062000
4	400	0.3	-0.2	48062000
4	400	0.3	-0.1	48062000
4	400	0.3	0	0
4	400	0.3	0.1	0
4	400	0.3	0.2	0
4	400	0.3	0.3	0
4	400	0.3	0.4	0
4	400	0.3	0.5	0
4	400	0.3	0.6	0
4	400	0.3	0.7	0
4	400	0.3	0.8	0
4	400	0.3	0.9	0
4	400	0.35	-0.9	48432000
4	400	0.35	-0.8	48432000
4	400	0.35	-0.7	48432000
4	400	0.35	-0.6	48432000
4	400	0.35	-0.5	48432000
4	400	0.35	-0.4	48432000
4	400	0.35	-0.3	48432000
4	400	0.35	-0.2	48432000
4	400	0.35	-0.1	48432000
4	400	0.35	0	0
4	400	0.35	0.1	0
4	400	0.35	0.2	0
4	400	0.35	0.3	0
4	400	0.35	0.4	0
4	400	0.35	0.5	0
4	400	0.35	0.6	0
4	400	0.35	0.7	0
4	400	0.35	0.8	0
4	400	0.35	0.9	0
4	400	0.4	-0.9	48522000
4	400	0.4	-0.8	48522000
4	400	0.4	-0.7	48522000
4	400	0.4	-0.6	48522000
4	400	0.4	-0.5	48522000
4	400	0.4	-0.4	48522000
4	400	0.4	-0.3	48522000
4	400	0.4	-0.2	48522000
4	400	0.4	-0.1	48522000
4	400	0.4	0	0
4	400	0.4	0.1	0
4	400	0.4	0.2	0
4	400	0.4	0.3	0
4	400	0.4	0.4	0
4	400	0.4	0.5	0
4	400	0.4	0.6	0
4	400	0.4	0.7	0
4	400	0.4	0.8	0
4	400	0.4	0.9	0
4	400	0.45	-0.9	48442000
4	400	0.45	-0.8	48442000
4	400	0.45	-0.7	48442000
4	400	0.45	-0.6	48442000
4	400	0.45	-0.5	48442000
4	400	0.45	-0.4	48442000
4	400	0.45	-0.3	48442000
4	400	0.45	-0.2	48442000
4	400	0.45	-0.1	48442000
4	400	0.45	0	0
4	400	0.45	0.1	0
4	400	0.45	0.2	0
4	400	0.45	0.3	0
4	400	0.45	0.4	0
